Present_Price,Kms_Driven,Fuel_Type,Seller_Type,Transmission,Brand_Name,Age
18.39,79276.25,Diesel,Dealer,Automatic,fortuner,11.0
18.39,40000.0,Diesel,Dealer,Automatic,fortuner,8.0
9.4,71000.0,Diesel,Dealer,Manual,verna,11.0
18.39,78000.0,Diesel,Dealer,Manual,land,13.0
9.4,60241.0,Petrol,Dealer,Manual,verna,10.0
13.6,21780.0,Petrol,Dealer,Manual,city,8.0
0.54,500.0,Petrol,Individual,Automatic,Activa,7.0
12.35,79276.25,Petrol,Dealer,Automatic,corolla,15.0
18.39,50000.0,Petrol,Dealer,Manual,corolla,13.0
5.9,5464.0,Petrol,Dealer,Manual,brio,7.0
18.39,47000.0,Diesel,Dealer,Automatic,fortuner,8.0
18.39,79276.25,Petrol,Individual,Automatic,camry,15.0
4.99,20000.0,Petrol,Dealer,Manual,swift,12.0
0.95,27000.0,Petrol,Individual,Manual,Bajaj,13.0
6.49,16200.0,Petrol,Individual,Manual,swift,6.0
12.04,15000.0,Petrol,Dealer,Automatic,ciaz,9.0
4.89,64532.0,Petrol,Dealer,Manual,ritz,10.0
9.9,56701.0,Petrol,Dealer,Manual,city,10.0
7.21,77427.0,Petrol,Dealer,Manual,dzire,14.0
7.87,24524.0,Petrol,Dealer,Automatic,baleno,7.0
1.47,4100.0,Petrol,Individual,Manual,Royal,6.0
0.95,16600.0,Petrol,Individual,Manual,Bajaj,8.0
11.6,33988.0,Diesel,Dealer,Manual,city,7.0
4.15,65000.0,Petrol,Dealer,Manual,wagon,15.0
0.74,5000.0,Petrol,Individual,Manual,Bajaj,8.0
10.79,43000.0,Diesel,Dealer,Manual,ertiga,7.0
4.43,23709.0,Petrol,Dealer,Manual,eon,11.0
4.43,57000.0,Petrol,Dealer,Manual,i10,12.0
7.13,34000.0,Petrol,Dealer,Manual,xcent,9.0
11.0,79276.25,Petrol,Dealer,Manual,city,14.0
0.75,79276.25,Petrol,Individual,Manual,Bajaj,15.0
8.89,20273.0,Diesel,Dealer,Manual,ciaz,7.0
18.39,29000.0,Diesel,Dealer,Automatic,innova,7.0
1.6,1200.0,Petrol,Individual,Manual,Bajaj,6.0
0.52,15000.0,Petrol,Individual,Manual,TVS,6.0
1.47,46500.0,Petrol,Individual,Manual,Royal,10.0
13.6,22671.0,Petrol,Dealer,Manual,creta,7.0
1.47,33000.0,Petrol,Individual,Manual,Royal,10.0
5.7,3493.0,Petrol,Dealer,Manual,grand,7.0
10.0,69341.0,Petrol,Dealer,Manual,city,12.0
1.9,5400.0,Petrol,Individual,Manual,Royal,10.0
9.4,32322.0,Diesel,Dealer,Manual,verna,11.0
9.4,45000.0,Diesel,Dealer,Manual,verna,10.0
8.93,79276.25,Diesel,Dealer,Manual,etios,9.0
12.5,9000.0,Diesel,Dealer,Manual,city,6.0
0.81,42000.0,Petrol,Individual,Manual,TVS,9.0
14.79,43535.0,Diesel,Dealer,Manual,elantra,8.0
0.95,500.0,Petrol,Individual,Manual,Bajaj,7.0
2.69,50000.0,Petrol,Dealer,Manual,omni,11.0
0.99,14500.0,Petrol,Individual,Manual,Bajaj,11.0
0.99,45000.0,Petrol,Individual,Manual,Bajaj,10.0
0.51,32000.0,Petrol,Individual,Manual,Honda,10.0
8.92,42367.0,Diesel,Dealer,Manual,ciaz,8.0
0.65,24000.0,Petrol,Individual,Manual,Hero,10.0
